taluka_code,district_code,division_code,state_code,taluka_name,taluka_name_ll
4196,490,02,27,Purandhar,पुरंदर
4124,489,04,27,Purna,पुर्णा
4085,500,05,27,Pusad,पूसद
4289,480,02,27,Radhanagari,राधानगरी
4204,466,03,27,Rahta,रहाता
4210,466,03,27,Rahuri,राहुरी
4274,492,01,27,Rajapur,राजापूर
4077,473,06,27,Rajura,राजुरा 
4091,500,05,27,Ralegaon,राळेगाव
4028,484,06,27,Ramtek,रामटेक
4271,492,01,27,Ratnagiri,रत्नागिरी
3962,478,03,27,Raver,रावेर
4227,481,04,27,Renapur,रेनापूर
4000,499,05,27,Risod,रिसोड
4179,491,01,27,Roha,रोहा
4049,476,06,27,Sadak-Arjuni,सडक अर्जुनी
4040,471,06,27,Sakoli,साकोली
3958,474,03,27,Sakri,साक्री
4048,476,06,27,Salekasa,सालेकसा
4022,498,06,27,Samudrapur,समुद्रपूर
4272,492,01,27,Sangameshwar,संगमेश्वर
4202,466,03,27,Sangamner,संगमनेर
4251,496,02,27,Sangole,सांगोले
3976,472,05,27,Sangrampur,संग्रामपूर
4262,494,02,27,Satara,सातारा
4026,484,06,27,Savner,सावनेर
4068,473,06,27,Sawali,सावली 
4281,495,01,27,Sawantwadi,सावंतवाडी
4018,498,06,27,Seloo,सेलू
4116,489,04,27,Selu,सेलू
4111,477,04,27,Sengaon,सेनगाव
3953,486,03,27,Shahade,शहादा
4167,497,01,27,Shahapur,शहापूर
4283,480,02,27,Shahuwadi,शाहूवाडी
3977,472,05,27,Shegaon,शेगाव
4207,466,03,27,Shevgaon,शेगाव
4295,493,02,27,Shirala,शिराळा
4286,480,02,27,Shirol,शिरोळ
3956,474,03,27,Shirpur,शिरपूर
4189,490,02,27,Shirur,शिरूर
4231,481,04,27,Shirur Anantpal,शिरूर अनंतपाळ
4217,470,06,27,Shirur (Kasar),शिरूर (कासार)
4212,466,03,27,Shrigonda,श्रीगोंदा
4205,466,03,27,Shrirampur,श्रीरामपूर
4183,491,01,27,Shrivardhan,श्रीवर्धन
4135,469,04,27,Sillod,सिल्लोड
4069,473,06,27,Sindewahi,सिंदेवाही 
3957,474,03,27,Sindkhede,सिंदखेडे
3986,472,05,27,Sindkhed Raja,सिंदखेड राजा
4154,487,03,27,Sinnar,सिन्नर
4063,475,06,27,Sironcha,सिरोंचा 
4134,469,04,27,Soegaon,सोयगाव
4247,496,02,27,Solapur North,उत्तर सोलापूर
4253,496,02,27,Solapur South,दक्षिण सोलापूर
4121,489,04,27,Sonpeth,सोनपेठ
4180,491,01,27,Sudhagad,सुधागड
4142,487,03,27,Surgana,सुरगना
4182,491,01,27,Tala,तळा
4157,665,01,27,Talasari,तलासरी
3952,486,03,27,Talode,तलोदा
4301,493,02,27,Tasgaon,तासगाव
3988,467,05,27,Telhara,तेल्हारा
4165,497,01,27,Thane,ठाणे
4008,468,05,27,Tiosa,तिवसा
4044,476,06,27,Tirora,तिरोडा
4151,487,03,27,Trimbakeshwar,त्र्यंबक
4241,488,04,27,Tuljapur,तुळजापूर
4037,471,06,27,Tumsar,तुमसर
4235,481,04,27,Udgir,उदगीर
4169,497,01,27,Ulhasnagar,उल्हासनगर
4086,500,05,27,Umarkhed,उमरखेड
4034,484,06,27,Umred,उमरेड
4103,485,04,27,Umri,उमरी
4172,491,01,27,Uran,उरण
4276,495,01,27,Vaibhavvadi,वैभववाडी
4139,469,04,27,Vaijapur,वैजापूर
4164,665,01,27,Vasai,वसई
4115,477,04,27,Vasmath,वसमत
4197,490,02,27,Velhe,वेल्हे
4279,495,01,27,Vengurla,वेंगुर्ला
4159,665,01,27,Vikramgad,विक्रमगड
4162,665,01,27,Wada,वाडा
4220,470,06,27,Wadwani,वडवणी
4256,494,02,27,Wai,वाई
4296,493,02,27,Walwa,वाळवा
4094,500,05,27,Wani,वनी
4019,498,06,27,Wardha,वर्धा
4064,473,06,27,Warora,वरोरा 
4007,468,05,27,Warud,वरूड
4238,488,04,27,Washi,वाशी
3999,499,05,27,Washim,वाशिम
4082,500,05,27,Yavatmal,यवतमाळ
3961,478,03,27,Yawal,यावल
4156,487,03,27,Yevla,येवला
4093,500,05,27,Zari-Jamani,जरी जामनी
